;Date;unique_id;Singular_Models_SeasWA;Reconcile_BottomUp;Reconcile_TopDown_method-forecast_proportions;Reconcile_MinTrace_method-ols;Reconcile_MinTrace_method-wls_struct;Real_Value
0;2019-01-01;Brasil;1043608.0;1046934.25;1043608.0;1043656.9388686143;1044716.7500000001;863301.0
1;2019-02-01;Brasil;814945.0;817184.25;814945.0;814978.0009124096;815691.4166666667;816032.0
2;2019-03-01;Brasil;634361.5;635976.75;634361.5;634385.3731751833;634899.9166666667;611372.0
3;2019-04-01;Brasil;427595.0;428512.75;427595.0;427608.6231751829;427900.9166666667;497309.0
4;2019-05-01;Brasil;352308.75;353048.5;352308.75;352319.67335766467;352555.33333333326;343094.0
5;2019-06-01;Brasil;331901.0;332714.0;331901.0;331912.9881386865;332172.0;400237.0
6;2019-07-01;Brasil;463100.25;464816.5;463100.25;463125.3978102196;463672.3333333333;459827.0
7;2019-08-01;Brasil;435947.0;437573.0;435947.0;435970.87135036534;436489.00000000006;417794.0
8;2019-09-01;Brasil;376850.75;377556.0;376850.75;376861.19981751865;377085.83333333343;407235.0
9;2019-10-01;Brasil;451222.5;452668.75;451222.5;451243.76733576675;451704.58333333326;413170.0
10;2019-11-01;Brasil;499690.0;501182.25;499690.0;499711.85948905145;500187.4166666667;471671.0
11;2019-12-01;Brasil;684140.25;687370.5;684140.25;684187.6468978109;685217.0000000001;652099.0
12;2019-01-01;Brasil/Acre;3272.5;3272.0;3272.5;3235.6708485393524;3237.60156249971;3842.0
13;2019-02-01;Brasil/Acre;2390.5;2390.5;2390.5;2365.7493156927303;2367.1744791664223;2664.0
14;2019-03-01;Brasil/Acre;1927.25;1927.25;1927.25;1909.3451186126108;1910.4244791664594;2176.0
15;2019-04-01;Brasil/Acre;1923.25;1923.25;1923.25;1913.032618612786;1913.690104166524;2187.0
16;2019-05-01;Brasil/Acre;1792.5;1792.25;1792.4999;1784.244981751539;1784.6692708332141;1785.0
17;2019-06-01;Brasil/Acre;1723.75;1719.25;1723.75;1713.6338959851223;1713.0312499998863;2094.0
18;2019-07-01;Brasil/Acre;3332.0;3328.75;3332.0;3312.3266423354066;3312.497395833186;3256.0
19;2019-08-01;Brasil/Acre;2688.25;2684.75;2688.2498;2669.471487225913;2669.5624999998554;2801.0
20;2019-09-01;Brasil/Acre;1865.25;1864.5;1865.2499;1857.225136861011;1857.5286458332127;2017.0
21;2019-10-01;Brasil/Acre;2216.5;2212.25;2216.5;2199.4869981748184;2199.3098958331884;2179.0
22;2019-11-01;Brasil/Acre;2010.25;2010.0;2010.25;1993.7928832112611;1994.5807291665046;2389.0
23;2019-12-01;Brasil/Acre;2927.75;2925.25;2927.75;2891.5773266417496;2892.8515624997835;3217.0
24;2019-01-01;Brasil/Amapá;2262.0;2263.0;2262.0;2225.5458485410204;2227.8515625000873;3541.0
