unique_id;Singular_Models_SeasWA;Reconcile_BottomUp;Reconcile_TopDown_method-forecast_proportions;Reconcile_MinTrace_method-ols;Reconcile_MinTrace_method-wls_struct;Real_Value
Brasil;6515670.0;6535537.5;6515670.0;6515962.340328474;6522292.5;6353141.0
Brasil/Acre;28069.75;28050.0;28069.75;27845.5572536443;27852.921874997948;30607.0
Brasil/Amapá;23425.25;23475.25;23425.25;23218.494753655235;23243.29687500108;36160.0
Brasil/Amazonas;41336.25;41938.25;41336.25;41267.49475364331;41430.29687499912;29306.0
Brasil/Bahia;147637.25;147637.25;147637.25;147442.35644769165;147499.28124999927;152221.0
Brasil/Ceará;84535.5;84535.5;84535.5;84340.6064476919;84397.53125000004;112920.0
Brasil/Distrito Federal;84745.75;84745.75;84745.75;84599.57983576808;84676.7656250006;73860.0
Brasil/Mato Grosso do Sul;76354.25;76354.25;76354.25;76134.99475365342;76147.29687499956;81392.0
Brasil/Minas Gerais;55095.5;55095.5;55095.5;54949.329835767654;55026.51562499983;54424.0
Brasil/Outras Unidades da Federação;10267.0;27792.25;10267.0;13538.177737228258;18753.687500000055;12536.0
Brasil/Paraná;861594.25;863494.75;861594.25;861740.477737228;862268.5624999999;1006752.0
Brasil/Pará;29547.5;29547.5;29547.5;29328.244753648185;29340.546875000193;26006.0
Brasil/Pernambuco;83239.25;83239.25;83239.25;83044.35644768755;83101.28125000032;111920.0
Brasil/Rio Grande do Norte;28301.25;28301.25;28301.25;28106.356447688886;28163.281249999993;27888.0
Brasil/Rio Grande do Sul;1136283.0;1136283.0;1136283.0;1136049.127737227;1136007.062500001;772686.0
Brasil/Rio de Janeiro;1376264.2;1376264.2;1376264.2;1376069.3564476871;1376126.2812500005;1252267.0
Brasil/Roraima;29640.25;29639.25;29640.25;29420.74475365132;29432.796875000317;12471.0
Brasil/Santa Catarina;196156.75;195967.25;196156.75;195884.97773722195;195786.06250000064;200746.0
Brasil/São Paulo;2223177.0;2223177.0;2223177.0;2222982.1064476906;2223039.0312500005;2358979.0
Brasil/Acre/Aérea;0.0;0.0;0.0;0.0;0.0;0.0
Brasil/Acre/Fluvial;0.0;0.0;0.0;-68.14758211451122;-65.69270833312802;61.0
Brasil/Acre/Terrestre;28050.0;28050.0;28069.75;27981.852417898728;27984.307291660756;30511.0
Brasil/Amapá/Aérea;66.25;66.25;65.78227;-19.335082116806056;-11.06770833334118;54.0
Brasil/Amapá/Fluvial;20182.75;20182.75;20143.926;20097.164917885086;20105.43229166432;16898.0
Brasil/Amapá/Terrestre;3226.25;3226.25;3215.5427;3140.664917886953;3148.9322916700985;19208.0
