;ds;top_level;middle_level;bottom_level;y
0;1989-01-01;Brasil;Amazonas;Aérea;757.0
1;1989-01-01;Brasil;Amazonas;Fluvial;5.0
2;1989-01-01;Brasil;Amazonas;Terrestre;103.0
3;1989-02-01;Brasil;Amazonas;Aérea;818.0
4;1989-02-01;Brasil;Amazonas;Fluvial;0.0
5;1989-02-01;Brasil;Amazonas;Terrestre;131.0
6;1989-03-01;Brasil;Amazonas;Aérea;381.0
7;1989-03-01;Brasil;Amazonas;Fluvial;13.0
8;1989-03-01;Brasil;Amazonas;Terrestre;15.0
9;1989-04-01;Brasil;Amazonas;Aérea;13.0
10;1989-04-01;Brasil;Amazonas;Fluvial;13.0
11;1989-04-01;Brasil;Amazonas;Terrestre;1.0
12;1989-05-01;Brasil;Amazonas;Aérea;40.0
13;1989-05-01;Brasil;Amazonas;Fluvial;5.0
14;1989-05-01;Brasil;Amazonas;Terrestre;62.0
15;1989-06-01;Brasil;Amazonas;Aérea;733.0
16;1989-06-01;Brasil;Amazonas;Fluvial;2.0
17;1989-06-01;Brasil;Amazonas;Terrestre;294.0
18;1989-07-01;Brasil;Amazonas;Aérea;646.0
19;1989-07-01;Brasil;Amazonas;Fluvial;5.0
20;1989-07-01;Brasil;Amazonas;Terrestre;133.0
21;1989-08-01;Brasil;Amazonas;Aérea;876.0
22;1989-08-01;Brasil;Amazonas;Fluvial;1.0
23;1989-08-01;Brasil;Amazonas;Terrestre;238.0
24;1989-09-01;Brasil;Amazonas;Aérea;1041.0
25;1989-09-01;Brasil;Amazonas;Fluvial;0.0
26;1989-09-01;Brasil;Amazonas;Terrestre;243.0
27;1989-10-01;Brasil;Amazonas;Aérea;1070.0
28;1989-10-01;Brasil;Amazonas;Fluvial;7.0
29;1989-10-01;Brasil;Amazonas;Terrestre;203.0
30;1989-11-01;Brasil;Amazonas;Aérea;2698.0
31;1989-11-01;Brasil;Amazonas;Fluvial;1150.0
32;1989-11-01;Brasil;Amazonas;Terrestre;364.0
33;1989-12-01;Brasil;Amazonas;Aérea;727.0
34;1989-12-01;Brasil;Amazonas;Fluvial;8.0
35;1989-12-01;Brasil;Amazonas;Terrestre;236.0
36;1989-01-01;Brasil;Bahia;Aérea;1421.0
37;1989-01-01;Brasil;Bahia;Marítima;804.0
38;1989-02-01;Brasil;Bahia;Aérea;1295.0
39;1989-02-01;Brasil;Bahia;Marítima;255.0
40;1989-03-01;Brasil;Bahia;Aérea;1939.0
41;1989-03-01;Brasil;Bahia;Marítima;61.0
42;1989-04-01;Brasil;Bahia;Aérea;1486.0
43;1989-04-01;Brasil;Bahia;Marítima;27.0
44;1989-05-01;Brasil;Bahia;Aérea;694.0
45;1989-05-01;Brasil;Bahia;Marítima;77.0
46;1989-06-01;Brasil;Bahia;Aérea;458.0
47;1989-06-01;Brasil;Bahia;Marítima;57.0
48;1989-07-01;Brasil;Bahia;Aérea;712.0
49;1989-07-01;Brasil;Bahia;Marítima;29.0
50;1989-08-01;Brasil;Bahia;Aérea;1046.0
51;1989-08-01;Brasil;Bahia;Marítima;49.0
52;1989-09-01;Brasil;Bahia;Aérea;843.0
53;1989-09-01;Brasil;Bahia;Marítima;31.0
54;1989-10-01;Brasil;Bahia;Aérea;1071.0
55;1989-10-01;Brasil;Bahia;Marítima;48.0
56;1989-11-01;Brasil;Bahia;Aérea;1606.0
57;1989-11-01;Brasil;Bahia;Marítima;53.0
58;1989-12-01;Brasil;Bahia;Aérea;2066.0
59;1989-12-01;Brasil;Bahia;Marítima;739.0
60;1989-01-01;Brasil;Distrito Federal;Aérea;43.0
61;1989-02-01;Brasil;Distrito Federal;Aérea;11.0
62;1989-03-01;Brasil;Distrito Federal;Aérea;89.0
63;1989-04-01;Brasil;Distrito Federal;Aérea;22.0
64;1989-05-01;Brasil;Distrito Federal;Aérea;9.0
65;1989-06-01;Brasil;Distrito Federal;Aérea;71.0
66;1989-07-01;Brasil;Distrito Federal;Aérea;9.0
67;1989-08-01;Brasil;Distrito Federal;Aérea;85.0
68;1989-09-01;Brasil;Distrito Federal;Aérea;53.0
69;1989-10-01;Brasil;Distrito Federal;Aérea;22.0
70;1989-11-01;Brasil;Distrito Federal;Aérea;0.0
71;1989-12-01;Brasil;Distrito Federal;Aérea;0.0
72;1989-01-01;Brasil;Mato Grosso do Sul;Aérea;14.0
73;1989-01-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
74;1989-01-01;Brasil;Mato Grosso do Sul;Terrestre;3872.0
75;1989-02-01;Brasil;Mato Grosso do Sul;Aérea;13.0
76;1989-02-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
77;1989-02-01;Brasil;Mato Grosso do Sul;Terrestre;2794.0
78;1989-03-01;Brasil;Mato Grosso do Sul;Aérea;11.0
79;1989-03-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
80;1989-03-01;Brasil;Mato Grosso do Sul;Terrestre;2943.0
81;1989-04-01;Brasil;Mato Grosso do Sul;Aérea;9.0
82;1989-04-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
83;1989-04-01;Brasil;Mato Grosso do Sul;Terrestre;2492.0
84;1989-05-01;Brasil;Mato Grosso do Sul;Aérea;9.0
85;1989-05-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
86;1989-05-01;Brasil;Mato Grosso do Sul;Terrestre;2356.0
87;1989-06-01;Brasil;Mato Grosso do Sul;Aérea;17.0
88;1989-06-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
89;1989-06-01;Brasil;Mato Grosso do Sul;Terrestre;2539.0
90;1989-07-01;Brasil;Mato Grosso do Sul;Aérea;4.0
91;1989-07-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
92;1989-07-01;Brasil;Mato Grosso do Sul;Terrestre;2650.0
93;1989-08-01;Brasil;Mato Grosso do Sul;Aérea;13.0
94;1989-08-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
95;1989-08-01;Brasil;Mato Grosso do Sul;Terrestre;2097.0
96;1989-09-01;Brasil;Mato Grosso do Sul;Aérea;3.0
97;1989-09-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
98;1989-09-01;Brasil;Mato Grosso do Sul;Terrestre;2364.0
99;1989-10-01;Brasil;Mato Grosso do Sul;Aérea;16.0
100;1989-10-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
101;1989-10-01;Brasil;Mato Grosso do Sul;Terrestre;2194.0
102;1989-11-01;Brasil;Mato Grosso do Sul;Aérea;9.0
103;1989-11-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
104;1989-11-01;Brasil;Mato Grosso do Sul;Terrestre;2865.0
105;1989-12-01;Brasil;Mato Grosso do Sul;Aérea;1.0
106;1989-12-01;Brasil;Mato Grosso do Sul;Fluvial;0.0
107;1989-12-01;Brasil;Mato Grosso do Sul;Terrestre;3457.0
108;1989-01-01;Brasil;Outras Unidades da Federação;Aérea;2991.0
